Rainfall - (MM), Year, Statistics, Country, ISO3
59.7142, 2011, Mar Average, Sri Lanka, LKA
172.167, 2011, Apr Average, Sri Lanka, LKA
29.8665, 2011, May Average, Sri Lanka, LKA
32.6891, 2011, Jun Average, Sri Lanka, LKA
51.0021, 2011, Jul Average, Sri Lanka, LKA
159.436, 2011, Aug Average, Sri Lanka, LKA
35.486, 2011, Sep Average, Sri Lanka, LKA
225.146, 2011, Oct Average, Sri Lanka, LKA
285.192, 2011, Nov Average, Sri Lanka, LKA
167.485, 2011, Dec Average, Sri Lanka, LKA
76.8924, 2012, Jan Average, Sri Lanka, LKA
87.0357, 2012, Feb Average, Sri Lanka, LKA
90.9289, 2012, Mar Average, Sri Lanka, LKA
155.109, 2012, Apr Average, Sri Lanka, LKA
18.3307, 2012, May Average, Sri Lanka, LKA
35.4581, 2012, Jun Average, Sri Lanka, LKA
15.473, 2012, Jul Average, Sri Lanka, LKA
129.326, 2012, Aug Average, Sri Lanka, LKA
183.974, 2012, Sep Average, Sri Lanka, LKA
404.434, 2012, Oct Average, Sri Lanka, LKA
161.044, 2012, Nov Average, Sri Lanka, LKA
346.155, 2012, Dec Average, Sri Lanka, LKA
144.282, 2013, Jan Average, Sri Lanka, LKA
220.061, 2013, Feb Average, Sri Lanka, LKA
172.256, 2013, Mar Average, Sri Lanka, LKA
63.6717, 2013, Apr Average, Sri Lanka, LKA
161.21, 2013, May Average, Sri Lanka, LKA
56.7762, 2013, Jun Average, Sri Lanka, LKA
56.6103, 2013, Jul Average, Sri Lanka, LKA
40.6304, 2013, Aug Average, Sri Lanka, LKA
99.0012, 2013, Sep Average, Sri Lanka, LKA
120.348, 2013, Oct Average, Sri Lanka, LKA
191.912, 2013, Nov Average, Sri Lanka, LKA
136.289, 2013, Dec Average, Sri Lanka, LKA
87.3505, 2014, Jan Average, Sri Lanka, LKA
35.8188, 2014, Feb Average, Sri Lanka, LKA
63.0502, 2014, Mar Average, Sri Lanka, LKA
100.601, 2014, Apr Average, Sri Lanka, LKA
124.966, 2014, May Average, Sri Lanka, LKA
44.5216, 2014, Jun Average, Sri Lanka, LKA
64.2883, 2014, Jul Average, Sri Lanka, LKA
125.859, 2014, Aug Average, Sri Lanka, LKA
123.89, 2014, Sep Average, Sri Lanka, LKA
329.457, 2014, Oct Average, Sri Lanka, LKA
269.364, 2014, Nov Average, Sri Lanka, LKA
469.83, 2014, Dec Average, Sri Lanka, LKA
20.0361, 2015, Jan Average, Sri Lanka, LKA
156.837, 2015, Feb Average, Sri Lanka, LKA
93.9471, 2015, Mar Average, Sri Lanka, LKA
207.944, 2015, Apr Average, Sri Lanka, LKA
136.595, 2015, May Average, Sri Lanka, LKA
67.2425, 2015, Jun Average, Sri Lanka, LKA
87.851, 2015, Jul Average, Sri Lanka, LKA
146.705, 2015, Aug Average, Sri Lanka, LKA
234.278, 2015, Sep Average, Sri Lanka, LKA
312.42, 2015, Oct Average, Sri Lanka, LKA
397.961, 2015, Nov Average, Sri Lanka, LKA
245.399, 2015, Dec Average, Sri Lanka, LKA
40.0975, 2016, Jan Average, Sri Lanka, LKA
128.82, 2016, Feb Average, Sri Lanka, LKA
51.5737, 2016, Mar Average, Sri Lanka, LKA
88.5389, 2016, Apr Average, Sri Lanka, LKA
295.473, 2016, May Average, Sri Lanka, LKA
47.9459, 2016, Jun Average, Sri Lanka, LKA
42.0513, 2016, Jul Average, Sri Lanka, LKA
3.41856, 2016, Aug Average, Sri Lanka, LKA
14.4, 2016, Sep Average, Sri Lanka, LKA
113.653, 2016, Oct Average, Sri Lanka, LKA
226.953, 2016, Nov Average, Sri Lanka, LKA
142.518, 2016, Dec Average, Sri Lanka, LKA
